id,location,constructionYear,sandPerc,phosphorus,phosphorusClass,plot,locationAbb,locationYear,longitude,latitude,longitude_center,latitude_center,distance_river
01_m,Parkstetten-Reibersdorf,2008,38.4,4,A,01,PAR,PAR-2008,12.597537238060442,48.903808955355075,12.599519797194445,48.90247647168155,190.5708351010271
02_m,Parkstetten-Reibersdorf,2008,48.5,3,A,02,PAR,PAR-2008,12.597510924945242,48.90389002185373,12.599519797194445,48.90247647168155,199.59515326231022
03_m,Parkstetten-Reibersdorf,2008,45.5,1,A,03,PAR,PAR-2008,12.610995628382327,48.90343262627256,12.599519797194445,48.90247647168155,511.1299777199693
04_m,Parkstetten-Reibersdorf,2008,65.3,3,A,04,PAR,PAR-2008,12.610996945138623,48.90354052602097,12.599519797194445,48.90247647168155,520.3635369232114
05_m,Oebling,2012,25.5,5,A,05,OEB,OEB-2012,12.62363770664428,48.898859774528795,12.625422190561105,48.900043806280024,229.06972937075938
06_m,Oebling,2012,24.4,11,C,06,OEB,OEB-2012,12.623652800459118,48.898976591907626,12.625422190561105,48.900043806280024,222.89245043864912
07_m,Oebling,2012,16.2,6,B,07,OEB,OEB-2012,12.627280734313977,48.901151000584655,12.625422190561105,48.900043806280024,403.7137006465614
08_m,Oebling,2012,30.1,10,C,08,OEB,OEB-2012,12.627117520827046,48.90118785809902,12.625422190561105,48.900043806280024,391.23476858619165
09_m,Oebling,2010,24.8,10,C,09,OEB,OEB-2010,12.638287691269726,48.891504809610865,12.63417609153175,48.89204225126736,1537.9325097983367
10_m,Oebling,2010,25.3,13,C,10,OEB,OEB-2010,12.638234522052544,48.89161301122031,12.63417609153175,48.89204225126736,1526.3973158763306
11_m,Oebling,2010,54.3,6,B,11,OEB,OEB-2010,12.630091698516445,48.892575046085874,12.63417609153175,48.89204225126736,1010.1014695743645
12_m,Oebling,2010,47.4,20,C,12,OEB,OEB-2010,12.630090454288286,48.892476138152404,12.63417609153175,48.89204225126736,1016.68196503435
13_m,Oebling,2006,42.4,23,D,13,OEB,OEB-2006,12.64469445869606,48.89977797062494,12.642973810222456,48.89402129390037,624.3359051731586
14_m,Oebling,2006,42.3,32,E,14,OEB,OEB-2006,12.64469364837753,48.89971502947072,12.642973810222456,48.89402129390037,631.2989533333322
15_m,Oebling,2006,49.4,33,E,15,OEB,OEB-2006,12.641205843961082,48.88829635340179,12.642973810222456,48.89402129390037,1886.4476926406758
16_m,Oebling,2006,41.2,5,B,16,OEB,OEB-2006,12.641301289855154,48.88829582210405,12.642973810222456,48.89402129390037,1886.7000256982367
17_o,Hermannsdorf-Ainbrach,2016,31.2,9,B,17,HER,HER-2016,12.706794696258832,48.89016968675158,12.709148683789348,48.88884682062423,253.38496706186058
18_m,Hermannsdorf-Ainbrach,2016,36.7,2,A,18,HER,HER-2016,12.706725631085211,48.89010716453537,12.709148683789348,48.88884682062423,261.8443970555574
19_o,Hermannsdorf-Ainbrach,2016,31.5,19,C,19,HER,HER-2016,12.711585627777804,48.88760437405792,12.709148683789348,48.88884682062423,271.23534223945535
