id,block,location,latitude,longitude,riverkm,distanceRiver,side,exposition,constructionYear,surveyDate_2017,surveyDate_2018,surveyDate_2019,surveyDate_2021,botanist_2017,botanist_2018,botanist_2019,botanist_2021,opensoilCov_2017,opensoilCov_2018,opensoilCov_2019,opensoilCov_2021,mossCov_2017,mossCov_2018,mossCov_2019,mossCov_2021,litterCov_2017,litterCov_2018,litterCov_2019,litterCov_2021,vegetationCov_2017,vegetationCov_2018,vegetationCov_2019,vegetationCov_2021,vegetationHeight_2017,vegetationHeight_2018,vegetationHeight_2019,vegetationHeight_2021,C550Perc,calciumcarbonatPerc,CorgPerc,humusPerc,humusLevel,NtotalPerc,cnRatio,cnLevel,pH,sandPerc,siltPerc,clayPerc,phosphorus,phosphorusClass,potassium,potassiumClass,magnesium,magnesiumClass,topsoilDepth,finematerialDepth,finematerialDensity,sceletonRatioVol,sceletonRatioMass,sceletonLevel,ufcPerc,ufcMm
01_m,1,Parkstetten-Reibersdorf,5418661,4543914,2318,190.57,water,south,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,80,60,10,2,1,10,10,35,15,30,40,80,60,70,80,50,NA,70,40,4.3,35.8,2.108,3.63,h3,0.235,9,hq5,7.38,38.4,44.2,17.4,4,A,7,B,16,C,22,20,1.32,7,10,2,22.3,49
02_m,1,Parkstetten-Reibersdorf,5418670,4543912,2318,199.60,land,north,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,1,10,25,10,70,60,60,60,20,30,15,10,80,75,70,70,30,60,60,30,3.287,27.4,1.804,3.1,h3,0.193,9.3,hq5,7.37,48.5,36.5,15,3,A,6,B,14,C,14,8,1.44,40,53,4,13.2,18.5
03_m,2,Parkstetten-Reibersdorf,5418627,4544901,2317,511.13,water,south,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,15,80,80,40,10,5,5,4,65,15,15,10,70,35,50,50,40,40,60,30,4.351,36.2,1.474,2.54,h3,0.174,8.5,hq5,7.46,45.5,39.3,15.2,1,A,6,B,15,C,11,10,1.54,11,11,3,19.6,21.6
04_m,2,Parkstetten-Reibersdorf,5418639,4544901,2317,520.36,land,north,2008,NA,2018-06-12,NA,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,40,30,10,40,20,50,40,35,35,20,20,40,50,50,50,10,40,NA,20,2.405,20,1.48,2.55,h3,0.142,10.4,hq4,7.43,65.3,24.6,10.1,3,A,6,B,11,C,13,7,1.42,47,63,4,11.1,14.5
05_m,3,Oebling,5418126,4545832,2316,229.07,water,south,2012,NA,2018-06-14,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,40,70,60,50,15,10,10,25,40,20,4,60,30,65,30,35,30,40,10,4.968,41.4,2.053,3.53,h3,0.272,7.5,hq5,7.47,25.5,54.8,19.7,5,A,5,B,15,C,17,16,1.25,4,6,2,25,42.5
06_m,3,Oebling,5418139,4545833,2316,222.89,land,north,2012,NA,2018-06-14,NA,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,40,25,5,2,10,5,35,40,40,65,60,20,50,70,80,70,30,40,50,20,5.489,45.7,1.579,2.72,h3,0.213,7.4,hq5,7.44,24.4,56.9,18.7,11,C,5,B,14,C,18,18,1.29,0,2,1,26,46.8
07_m,4,Oebling,5418383,4546097,2316,403.71,water,east,2012,NA,2018-06-14,2019-06-13,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,50,NA,75,NA,20,NA,5,NA,20,NA,20,NA,40,NA,65,NA,20,NA,60,NA,5.304,44.2,1.805,3.1,h3,0.242,7.5,hq5,7.45,16.2,62.2,21.6,6,B,6,B,16,C,16,16,1.31,0,1,1,26,41.6
08_m,4,Oebling,5418387,4546085,2316,391.23,land,west,2012,NA,2018-06-14,2019-06-13,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,70,50,60,NA,1,20,10,NA,20,30,30,NA,40,30,70,NA,30,30,55,NA,4.837,40.3,1.75,3.01,h3,0.225,7.8,hq5,7.42,30.1,50.8,19.1,10,C,6,B,14,C,17,14,1.77,18,23,3,16.4,27.9
09_m,5,Oebling,5417317,4546913,2314,1537.93,water,south,2010,NA,2018-06-14,2019-06-13,2021-07-01,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,10,5,4,5,20,50,30,80,70,45,30,45,60,50,70,50,80,80,20,0.934,7.8,2.599,4.47,h4,0.285,9.1,hq5,7.28,24.8,41.2,34,10,C,7,B,21,D,18,17,1.37,8,12,2,24,43.2
10_m,5,Oebling,5417329,4546909,2314,1526.40,land,north,2010,NA,2018-06-14,NA,2021-07-01,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,40,60,4,0,0,0,70,70,55,40,30,30,50,60,70,50,40,60,20,1.28,10.7,2.655,4.57,h4,0.293,9.1,hq5,7.33,25.3,41.6,33.1,13,C,11,C,23,D,17,16,1.03,8,18,2,23.9,40.7
